epoch	loss	acc	val_loss	val_acc
0	1.354985	0.328808	1.151383	0.488398
1	1.166971	0.492459	0.649589	0.760221
2	1.064671	0.580442	0.532748	0.790055
3	1.000195	0.630719	0.405908	0.829834
4	0.941498	0.667672	0.400230	0.830939
5	0.894816	0.702112	0.345195	0.862983
6	0.854417	0.722725	0.280568	0.892818
7	0.822966	0.734540	0.298952	0.881768
8	0.800595	0.734791	0.279121	0.895028
9	0.764068	0.760181	0.283573	0.888398
10	0.754386	0.762946	0.299008	0.886188
11	0.728639	0.763449	0.272457	0.899448
12	0.723928	0.768728	0.260594	0.909392
13	0.698131	0.776521	0.257569	0.906077
14	0.679749	0.780040	0.262453	0.914917
15	0.659732	0.785822	0.270849	0.913812
16	0.663629	0.787833	0.256715	0.918232
17	0.647456	0.789341	0.264308	0.917127
18	0.632130	0.792609	0.269404	0.910497
19	0.616323	0.802665	0.288023	0.909392
20	0.623458	0.793112	0.265229	0.920442
21	0.601305	0.800151	0.278309	0.913812
22	0.585270	0.800402	0.288248	0.907182
23	0.587878	0.801911	0.275606	0.911602
24	0.568831	0.814228	0.283553	0.912707
25	0.572553	0.803670	0.302983	0.919337
26	0.556263	0.813474	0.295184	0.918232
27	0.551184	0.816742	0.290007	0.913812
28	0.541770	0.816742	0.310669	0.914917
29	0.530692	0.829311	0.304924	0.916022
30	0.536780	0.816742	0.304914	0.916022
31	0.519339	0.830568	0.285021	0.919337
32	0.525778	0.824786	0.298741	0.916022
33	0.518960	0.821770	0.303446	0.917127
34	0.517143	0.821770	0.305866	0.922652
35	0.518348	0.830820	0.325631	0.918232
36	0.505287	0.826546	0.304615	0.918232
37	0.490923	0.836601	0.319643	0.920442
38	0.505053	0.828808	0.331578	0.921547
39	0.490388	0.830820	0.315608	0.914917
40	0.488802	0.830317	0.330832	0.918232
41	0.490994	0.826546	0.306970	0.917127
42	0.482665	0.835847	0.323088	0.917127
43	0.473529	0.838612	0.325952	0.924862
44	0.471535	0.843640	0.319882	0.927072
45	0.460707	0.840372	0.335516	0.917127
46	0.473781	0.833836	0.333865	0.917127
47	0.463280	0.839367	0.352954	0.922652
48	0.467809	0.836099	0.349180	0.919337
49	0.463498	0.842132	0.339968	0.918232
