epoch	loss	acc	val_loss	val_acc
0	0.602397	0.657203	0.563306	0.700000
1	0.443477	0.795154	0.626563	0.697500
2	0.335025	0.857264	0.747343	0.698750
3	0.264323	0.890763	0.783430	0.697500
4	0.216039	0.913448	0.886724	0.706250
5	0.187489	0.925123	1.122978	0.671250
6	0.165367	0.935358	1.173260	0.696250
7	0.144700	0.944588	1.314781	0.680000
8	0.135237	0.949502	1.230729	0.672500
9	0.123939	0.953913	1.216123	0.698750
10	0.113677	0.957200	1.389005	0.685000
11	0.106990	0.959284	1.362317	0.682500
12	0.099739	0.962513	1.552112	0.681250
13	0.095085	0.965631	1.952424	0.670000
14	0.086999	0.968191	1.699993	0.667500
15	0.084785	0.969112	1.678260	0.688750
16	0.081774	0.970530	1.441460	0.693750
17	0.076137	0.971884	1.754174	0.660000
18	0.074912	0.972222	1.667069	0.690000
19	0.073533	0.973822	1.703280	0.681250
20	0.069655	0.974940	1.824008	0.700000
21	0.066497	0.976269	1.610677	0.696250
22	0.063973	0.976452	1.762778	0.680000
23	0.060648	0.978657	1.984521	0.663750
24	0.059946	0.978153	2.025827	0.688750
25	0.059022	0.979419	2.026172	0.677500
26	0.055480	0.980737	2.042755	0.683750
27	0.054806	0.980941	1.847068	0.683750
28	0.053326	0.981004	1.869615	0.686250
29	0.055943	0.980993	1.929383	0.688750
30	0.053107	0.981477	1.933332	0.698750
31	0.047731	0.983430	1.800088	0.688750
32	0.048927	0.982264	1.966146	0.702500
33	0.047489	0.982942	2.052459	0.691250
34	0.049235	0.982584	1.834592	0.682500
35	0.047094	0.983698	1.968538	0.681250
36	0.047278	0.983544	1.861301	0.697500
37	0.044309	0.984277	1.870512	0.675000
38	0.044443	0.985261	2.014579	0.687500
39	0.041199	0.985887	2.148555	0.698750
40	0.042104	0.985355	2.058448	0.677500
41	0.045065	0.984623	1.961105	0.682500
42	0.038456	0.986552	2.159176	0.675000
43	0.039473	0.986690	1.947698	0.692500
44	0.035937	0.987698	2.144028	0.682500
45	0.039557	0.986694	2.038040	0.695000
46	0.036774	0.987509	2.096675	0.688750
47	0.036922	0.987336	1.985390	0.688750
48	0.035564	0.988316	2.234307	0.692500
49	0.036403	0.987446	2.214640	0.676250
